pair_id,adr_ticker,underlying_ticker,open_date,close_date,duration_days,adr_open_price,adr_cover_price,local_open_price_usd,local_close_price_usd,local_return,adr_return,roce,ruce,roll_cost_pct,borrow_cost,fx_open,fx_close,fx_pnl,roce_net,ruce_net,ruce_net_fx,close_reason,was_aborted
951078__912109,951078,912109,2023-01-04,2023-01-12,8,23.560252862943,24.0279359290665,23.027290353385826,24.087097734596462,0.04602397264056761,-0.019850511318539484,0.026173461322028125,0.006322950003488641,0.011174,0.000219,0.0074959709,0.0077378413,0.032267,0.025954283239836343,0.00610377192129686,-0.026592974737511328,convergence,False
951078__912109,951078,912109,2023-02-10,2023-02-16,6,25.205156279952497,25.234308450981,25.122646128144208,25.272964436900494,0.005983378820429638,-0.0011565955277051806,0.004826783292724458,0.003670187765019277,0.011174,0.000164,0.0075520145,0.0074657503,-0.011423,0.0046623997310806225,0.0035058042033754414,0.015129599254120928,convergence,False
951078__912109,951078,912109,2023-05-11,2023-05-19,8,27.6725048860285,28.1156649089715,27.63465250087475,28.23801729767907,0.02183363068470726,-0.016014452785108983,0.005819177899598276,-0.010195274885510707,0.011174,0.000219,0.0073678388,0.0072482151,-0.016236,0.005599999817406495,-0.010414452967702489,0.006449770568784125,convergence,False
951078__912109,951078,912109,2023-06-02,2023-06-05,1,29.678485886028497,29.740795379019,0.0,0.0,0.0,-0.0020994835528263017,-0.0020994835528263017,-0.0041989671056526035,0.011174,0.0,0.0,0.0,0.0,-0.0020994835528263017,-0.0041989671056526035,-0.0041989671056526035,overnight_abort,True
951078__912109,951078,912109,2023-07-28,2023-08-01,4,31.885061977056996,31.8345063559335,31.79815167825284,31.953651018007385,0.004890200579202004,0.0015855581889686848,0.006475758768170688,0.008061316957139374,0.011174,0.00011,0.0070276538,0.0069766626,-0.007256,0.006366169727074798,0.007951727916043483,0.015296293668123042,convergence,False
951078__912109,951078,912109,2023-08-09,2023-08-10,1,32.095696,31.874395709019,0.0,0.0,0.0,0.00689501455213793,0.00689501455213793,0.01379002910427586,0.011174,0.0,0.0,0.0,0.0,0.00689501455213793,0.01379002910427586,0.01379002910427586,overnight_abort,True
516889__916561,516889,916561,2023-08-22,2023-08-24,2,11.049592963596,10.50209816,10.869329489824679,10.728557056587508,-0.012951344732805717,0.04954886622518836,0.03659752149238264,0.086146387717571,0.012118,5.5e-05,0.0069039313,0.0068547143,-0.007129,0.0365427269718347,0.08609159319702304,0.09317862433211867,convergence,False
500326__256938,500326,256938,2023-01-04,2023-02-02,29,7.18131794515785,7.2086035295264494,6.877538248840433,7.227760733167394,0.050922651631346356,-0.0037995232319434622,0.04712312839940289,0.04332360516745943,0.015214,0.000795,0.0074959709,0.0077721214,0.03684,0.04632860785145769,0.042529084619514226,0.005188852683697823,convergence,False
500326__256938,500326,256938,2023-02-03,2023-02-21,18,7.2113650998421495,7.2784927349999995,6.89315118450528,7.238788666715648,0.05014215892831515,-0.009308589182278316,0.04083356974603684,0.03152498056375852,0.015214,0.000493,0.0075377831,0.0074071325,-0.017333,0.04034041906110533,0.031031829878827015,0.0495547472357502,convergence,False
500326__256938,500326,256938,2023-05-15,2023-05-19,4,6.7706709604735495,6.629519159368599,6.708823680786169,6.677868230764708,-0.004614139750030515,0.020847535189492925,0.01623339543946241,0.03708093062895534,0.015214,0.00011,0.0073321846,0.0072482151,-0.011452,0.016123806398366518,0.036971341587859446,0.04850273957193125,convergence,False
755020__929593,755020,929593,2023-03-02,2023-03-29,27,7.363029450627501,7.17740990031375,7.250029469813078,7.202928368323763,-0.006496677245993264,0.025209671040760526,0.018712993794767263,0.043922664835527786,0.010091,0.00074,0.127398279,0.1273909725,-5.7e-05,0.017973267767370002,0.043182938808130525,0.04323992111924131,convergence,False
755020__929593,755020,929593,2023-06-01,2023-06-12,11,7.4031549506275,7.267127625,7.203465543431131,7.248057657320126,0.006190369568666653,0.01837423727244431,0.02456460684111096,0.042938844113555266,0.010091,0.000301,0.1275908893,0.1276259078,0.000274,0.024263236978097263,0.04263747425054157,0.04236139176804173,convergence,False
