date,rolling_sharpe_252d
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-16,
2021-02-17,
2021-02-18,
2021-02-19,
2021-02-22,
2021-02-23,
2021-02-24,
2021-02-25,
2021-02-26,
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,
2021-04-05,
2021-04-06,-0.9209003822980737
2021-04-07,-0.7516463728615839
2021-04-08,-0.9110604525807198
2021-04-09,-0.923794839512227
2021-04-12,-0.3359636984093347
2021-04-13,-0.20304861621414896
2021-04-14,-0.1832495397560853
2021-04-15,-0.7925950490627971
2021-04-16,-0.8809194554651303
2021-04-19,-0.8492201966891135
2021-04-20,-0.8434481537764339
2021-04-21,-0.8377922050578417
2021-04-22,-0.7751448628731659
2021-04-23,-0.7783505122698418
2021-04-26,-0.7234175407058272
2021-04-27,0.1304556366484774
2021-04-28,0.24825285190037924
2021-04-29,0.2985304644717432
2021-04-30,0.6776624693226505
2021-05-03,0.5072966850297351
2021-05-04,0.5601529395055109
2021-05-05,0.7402299965187266
2021-05-06,0.6488233941797396
2021-05-07,0.8073149756582334
2021-05-10,0.898090314430668
2021-05-11,0.7085939834906816
2021-05-12,0.7752986972301614
2021-05-13,0.7943383690264074
2021-05-14,0.14947076636311674
2021-05-17,0.044317706617210344
2021-05-18,-0.07587599721644503
2021-05-19,-0.05888197753750611
2021-05-20,0.05366259930983159
2021-05-21,0.05532136850684409
2021-05-24,0.059460655951833856
2021-05-25,0.015051398861008265
2021-05-26,0.029744183324204657
2021-05-27,0.031219557309446182
2021-05-28,0.06470337316289594
2021-06-01,0.08462670208765487
2021-06-02,0.08421892666878407
2021-06-03,0.08381698887905344
2021-06-04,0.13307122838392943
2021-06-07,0.08197615175170257
2021-06-08,0.21452247062153565
2021-06-09,0.19772117422555513
2021-06-10,0.19682040244512783
2021-06-11,0.1959318292895135
2021-06-14,0.18437905839442462
2021-06-15,0.2133353595482006
2021-06-16,0.1717964553492461
2021-06-17,0.18419193030561157
2021-06-18,0.19889626153347323
2021-06-21,0.28594938731177577
2021-06-22,-0.21170546469301735
2021-06-23,-0.03692919731552555
2021-06-24,0.04793947297284513
2021-06-25,-0.7384212914557069
2021-06-28,-0.13906914770833362
2021-06-29,-0.11980304046432635
2021-06-30,-0.21973347459262854
2021-07-01,-0.2595213206043056
2021-07-02,-0.2516926774656622
2021-07-06,-0.2888379454327567
2021-07-07,-0.20534239615679417
2021-07-08,0.1738160853968504
2021-07-09,0.1424700227661961
2021-07-12,-0.18879976997265036
2021-07-13,-0.31580048618796214
2021-07-14,-0.3972221115729207
2021-07-15,-0.6409142600510249
2021-07-16,-0.5379237789543064
2021-07-19,-0.35633360032202277
2021-07-20,-0.3672433859044254
2021-07-21,-0.35639758856613574
2021-07-22,-0.3551127520758892
2021-07-23,-0.35384171098442807
2021-07-26,-0.3506056531013828
2021-07-27,-0.3625176226478489
2021-07-28,-0.461869759404989
2021-07-29,-0.48432091577841063
2021-07-30,-0.3623044307928572
2021-08-02,-0.4999688921251469
2021-08-03,-0.5095431119328763
2021-08-04,-0.4784124498515409
2021-08-05,-0.5702399967314744
2021-08-06,-0.6104518145264884
2021-08-09,-0.6079638092823642
2021-08-10,-0.5852608194363
2021-08-11,-0.6426165913759032
2021-08-12,-0.6291356056510382
2021-08-13,-0.5105775218565554
2021-08-16,-0.5038808535140574
2021-08-17,-0.5154677266968738
2021-08-18,-0.5544093939590155
2021-08-19,-0.48988962314186507
2021-08-20,-0.29555829540062944
2021-08-23,-0.7891756748765733
2021-08-24,-0.6830353330904211
2021-08-25,-0.6684236606255926
2021-08-26,-0.653704849049052
2021-08-27,-0.6790708992063264
2021-08-30,-0.6527815620151279
2021-08-31,-0.6228465107539374
2021-09-01,-0.6422930710065853
2021-09-02,-0.6388789388388861
2021-09-03,-0.5498102045729463
2021-09-07,-0.7061173960297309
2021-09-08,-0.6198335908500651
2021-09-09,-0.6533076508838518
2021-09-10,-0.660981505774111
2021-09-13,-0.5431039330897615
2021-09-14,-0.6324796063259144
2021-09-15,-0.6749993439741252
2021-09-16,-0.6952668945789522
2021-09-17,-0.7048863073157509
2021-09-20,-0.3595216730507975
2021-09-21,-0.36127093938326116
2021-09-22,-0.36027661264631594
2021-09-23,-0.35929045073103544
2021-09-24,-0.35845770617385725
2021-09-27,-0.26056485364277115
2021-09-28,-0.2659462284228644
2021-09-29,-0.2659371281540245
2021-09-30,-0.36331787772769863
2021-10-01,-0.33563217608462426
2021-10-04,-0.32724276817693804
2021-10-05,-0.41810228136691513
2021-10-06,-0.2820727754667631
2021-10-07,-0.3032337754987726
2021-10-08,-0.34525514541655344
2021-10-11,-0.33040161288117864
2021-10-12,-0.254884518937288
2021-10-13,-0.25423664682985764
2021-10-14,-0.2566984640177146
2021-10-15,-0.2665861959852509
2021-10-18,-0.27343584853169134
2021-10-19,-0.3062573527583694
2021-10-20,-0.23964421316454926
2021-10-21,-0.24089650021164855
2021-10-22,-0.26842162495215194
2021-10-25,-0.28889552690586734
2021-10-26,-0.2831545035640722
2021-10-27,-0.2824695408104656
2021-10-28,-0.296846229436553
2021-10-29,-0.2772927881644364
2021-11-01,-0.3186194869376598
2021-11-02,-0.31786329597449353
2021-11-03,-0.3171124635152572
2021-11-04,-0.31636692657369886
2021-11-05,-0.3156266231952039
2021-11-08,-0.36777165565222925
2021-11-09,-0.4478138095434815
2021-11-10,-0.4066271983520454
2021-11-11,-0.3607966758903738
2021-11-12,-0.38741554102233355
2021-11-15,-0.39724183618069187
2021-11-16,-0.36924442943031355
2021-11-17,-0.3986321860023715
2021-11-18,-0.3977368567512917
2021-11-19,-0.3989730760643624
2021-11-22,-0.4499233904103505
2021-11-23,-0.4489261158272724
2021-11-24,-0.48327242453209557
2021-11-26,-0.4172161289525292
2021-11-29,-0.36974660399459286
2021-11-30,-0.37621543239317995
2021-12-01,-0.3649057386967419
2021-12-02,-0.3909339809510104
2021-12-03,-0.23278965145843714
2021-12-06,-0.21328744226365978
2021-12-07,-0.203773741378129
2021-12-08,-0.21480042504736632
2021-12-09,-0.22059548027576434
2021-12-10,-0.21622608559655163
2021-12-13,-0.22243419098036404
2021-12-14,-0.20957090562076142
2021-12-15,-0.16367760231968773
2021-12-16,-0.16333905094068432
2021-12-17,-0.16300259164404662
2021-12-20,-0.16266820297189946
2021-12-21,-0.1601708038096198
2021-12-22,-0.1581216721661953
2021-12-23,-0.1713527303812286
2021-12-27,-0.17100688312682893
2021-12-28,-0.1652423800546033
2021-12-29,-0.10412750110271769
2021-12-30,-0.09741264019926069
2021-12-31,-0.09986416338244193
2022-01-03,-0.09275334235729049
