k0,kc,T,H,n_trades,n_closed,n_abort,median_ruce_net,mean_ruce_net,median_roce_net,median_duration,pct_profitable
2.33,1.0,90,30,1317,430,887,0.052744,0.106495,0.025226,5.0,0.807
1.65,0.0,90,90,2821,1688,1133,0.04524,0.067579,0.023212,5.0,0.7956
1.65,0.5,90,90,3047,1299,1748,0.043317,0.07324,0.021222,5.0,0.7945
1.65,1.0,90,90,3220,949,2271,0.042129,0.080768,0.020388,4.0,0.7935
2.0,0.0,90,90,1781,1069,712,0.049705,0.079026,0.025305,5.0,0.8082
2.0,0.5,90,90,1885,822,1063,0.047635,0.08642,0.023851,5.0,0.8187
2.0,1.0,90,90,1975,613,1362,0.048624,0.100761,0.023845,4.0,0.814
2.33,0.0,90,90,1215,735,480,0.051749,0.087826,0.025907,6.0,0.8041
2.33,0.5,90,90,1266,582,684,0.051147,0.096419,0.025621,5.0,0.8127
2.33,1.0,90,90,1315,428,887,0.053767,0.11311,0.025293,5.0,0.8154
1.65,0.0,90,120,2817,1684,1133,0.045149,0.068228,0.023212,5.0,0.7951
1.65,0.5,90,120,3045,1297,1748,0.043363,0.073312,0.02127,5.0,0.7949
1.65,1.0,90,120,3220,949,2271,0.042129,0.080618,0.020388,4.0,0.7935
2.0,0.0,90,120,1779,1067,712,0.049705,0.080044,0.025342,5.0,0.8097
2.0,0.5,90,120,1884,821,1063,0.048162,0.086701,0.023858,5.0,0.821
2.0,1.0,90,120,1975,613,1362,0.048624,0.10053,0.023845,4.0,0.814
2.33,0.0,90,120,1213,733,480,0.051573,0.08808,0.025928,6.0,0.8049
2.33,0.5,90,120,1265,581,684,0.051595,0.096615,0.02584,5.0,0.8158
2.33,1.0,90,120,1315,428,887,0.053266,0.112919,0.025293,5.0,0.8154
1.65,0.0,120,30,2781,1661,1120,0.045617,0.067145,0.022535,5.0,0.7971
1.65,0.5,120,30,2980,1249,1731,0.04499,0.072867,0.021348,5.0,0.7974
1.65,1.0,120,30,3118,880,2238,0.045162,0.082969,0.02069,4.0,0.8023
