pair_id,adr_ticker,underlying_ticker,open_date,close_date,duration_days,adr_open_price,adr_cover_price,local_open_price_usd,local_close_price_usd,local_return,adr_return,roce,ruce,roll_cost_pct,borrow_cost,fx_open,fx_close,fx_pnl,roce_net,ruce_net,ruce_net_fx,close_reason,was_aborted
516889__916561,516889,916561,2024-04-08,2024-04-09,1,10.44855864,10.072552559999998,0.0,0.0,0.0,0.035986406637997445,0.035986406637997445,0.07197281327599489,0.011961,0.0,0.0,0.0,0.0,0.035986406637997445,0.07197281327599489,0.07197281327599489,overnight_abort,True
516889__916561,516889,916561,2024-04-10,2024-04-12,1,10.579040159999998,10.147275756295999,10.27615414599637,10.263935327503516,-0.0011890458550210797,0.04081319261236262,0.039624146757341536,0.08043733936970415,0.011961,2.7e-05,0.0065242212,0.00652337,-0.00013,0.03959674949706756,0.08040994210943019,0.08027947443000807,convergence,False
516889__916561,516889,916561,2024-05-10,2024-05-13,1,11.251522843703999,10.261849796296,0.0,0.0,0.0,0.08795903107122867,0.08795903107122867,0.17591806214245734,0.011961,0.0,0.0,0.0,0.0,0.08795903107122867,0.17591806214245734,0.17591806214245734,overnight_abort,True
516889__916561,516889,916561,2024-06-18,2024-06-21,1,10.217707723704,9.8434046792592,9.857837042895538,9.961314406676673,0.010496964327048813,0.03663278051851665,0.047129744845565466,0.08376252536408212,0.011961,2.7e-05,0.0062926722,0.0062576265,-0.005569,0.04710234758529149,0.08373512810380815,0.07816584070313919,convergence,False
516889__916561,516889,916561,2024-07-26,2024-07-29,1,11.211374683703998,10.907448608,0.0,0.0,0.0,0.027108725225797884,0.027108725225797884,0.05421745045159577,0.011961,0.0,0.0,0.0,0.0,0.027108725225797884,0.05421745045159577,0.05421745045159577,overnight_abort,True
516889__916561,516889,916561,2024-08-05,2024-08-06,1,9.8362994007408,10.112404399999999,0.0,0.0,0.0,-0.028070007632993128,-0.028070007632993128,-0.056140015265986255,0.011961,0.0,0.0,0.0,0.0,-0.028070007632993128,-0.056140015265986255,-0.056140015265986255,overnight_abort,True
516889__916561,516889,916561,2024-10-23,2024-10-25,1,12.385708363704,11.268108756296,11.723921128991645,11.716151619002206,-0.0006627057538135332,0.09023299875872233,0.08957029300490879,0.17980329176363113,0.011961,2.7e-05,0.0065863132,0.0065657726,-0.003119,0.08954289574463482,0.17977589450335715,0.1766572149968922,convergence,False
516889__916561,516889,916561,2024-11-13,2024-11-15,1,12.616559279999999,11.870866839999998,11.988063297242727,11.958847655744115,-0.002437060997611764,0.05910426317118695,0.05666720217357519,0.11577146534476214,0.011961,2.7e-05,0.0063995904,0.0064789914,0.012407,0.056639804913301214,0.11574406808448817,0.12815126839530802,convergence,False
516889__916561,516889,916561,2024-12-18,2024-12-23,4,11.20133664,10.04266368,10.366511766208335,10.412987239708457,0.004483231635507103,0.10344059796063756,0.10792382959614467,0.21136442755678223,0.011961,0.00011,0.0063512226,0.0063619302,0.001686,0.10781424055504879,0.21125483851568633,0.21294075013843433,convergence,False
516889__916561,516889,916561,2025-02-28,2025-03-06,3,10.829966159999998,10.369448768,10.353929837504783,10.589833764405146,0.022783998984217003,0.042522514400912786,0.06530651338512979,0.10782902778604257,0.011961,8.2e-05,0.0066885158,0.006758355,0.010442,0.06522432160430787,0.10774683600522066,0.11818849482585161,convergence,False
516889__916561,516889,916561,2025-04-02,2025-04-03,1,10.308041083704,9.6142561011112,0.0,0.0,0.0,0.06730522093956387,0.06730522093956387,0.13461044187912774,0.011961,0.0,0.0,0.0,0.0,0.06730522093956387,0.13461044187912774,0.13461044187912774,overnight_abort,True
516889__916561,516889,916561,2025-04-09,2025-04-10,1,10.087226203703999,9.4678011868888,0.0,0.0,0.0,0.061406872841589355,0.061406872841589355,0.12281374568317871,0.011961,0.0,0.0,0.0,0.0,0.061406872841589355,0.12281374568317871,0.12281374568317871,overnight_abort,True
516889__916561,516889,916561,2025-08-08,2025-08-12,1,9.8764475607408,9.464812,0.0,0.0,0.0,0.041678504159437316,0.041678504159437316,0.08335700831887463,0.011961,0.0,0.0,0.0,0.0,0.041678504159437316,0.08335700831887463,0.08335700831887463,overnight_abort,True
516889__916561,516889,916561,2025-08-26,2025-08-27,1,10.36826232,11.65168172,0.0,0.0,0.0,-0.12378346152800652,-0.12378346152800652,-0.24756692305601305,0.011961,0.0,0.0,0.0,0.0,-0.12378346152800652,-0.24756692305601305,-0.24756692305601305,overnight_abort,True
516889__916561,516889,916561,2025-09-18,2025-09-24,5,12.235151759999999,11.915701156296,12.7346319428961,12.06072527216976,-0.05291921068062527,0.026109247353054376,-0.026809963327570897,-0.0007007159745165206,0.011961,0.000137,0.006758355,0.0067156912,-0.006313,-0.02694694962894076,-0.0008377022758863837,-0.007150451458194724,convergence,False
516889__916561,516889,916561,2025-10-17,2025-10-22,2,12.395745403704,11.953560404296,12.127047058334131,12.131014603804035,0.00032716500981800543,0.035672320220119146,0.03599948522993715,0.0716718054500563,0.011961,5.5e-05,0.0066334992,0.0065793798,-0.008158,0.03594469070938921,0.07161701092950835,0.06345851141540573,convergence,False
