pair_id,adr_ticker,underlying_ticker,open_date,close_date,duration_days,adr_open_price,adr_cover_price,local_open_price_usd,local_close_price_usd,local_return,adr_return,roce,ruce,roll_cost_pct,borrow_cost,fx_open,fx_close,fx_pnl,roce_net,ruce_net,ruce_net_fx,close_reason,was_aborted,spans_adj_change
500326__256938,500326,256938,2021-09-27,2021-09-30,3,6.2651067804743,5.9440633959486,6.178246785432092,5.801185709116944,-0.061030432970763486,0.05124308264405912,-0.009787350326704365,0.041455732317354756,0.015739,8.2e-05,0.0089674035,0.0090033304,0.004006,-0.009869542107526283,0.04137354053653284,0.03762667529456619,convergence,False,False
500326__256938,500326,256938,2022-02-25,2022-03-01,4,6.285059749525701,5.883920604762849,6.061577810273115,5.854316417706784,-0.034192647368984745,0.06382423727843207,0.02963158990944733,0.0934558271878794,0.015739,0.00011,0.0086952734,0.0086568844,-0.004415,0.02952200086835144,0.09334623814678351,0.09762911599832931,convergence,False,False
500326__256938,500326,256938,2023-01-04,2023-02-02,29,7.1529964447628505,7.237122530711449,7.032946908984826,7.050248551339722,0.0024600843115696984,-0.011760957327218123,-0.009300873015648425,-0.021061830342866548,0.015739,0.000795,0.0074959709,0.0076228227,0.016923,-0.01009539356359363,-0.021856350890811754,-0.038538342736571814,convergence,False,False
500326__256938,500326,256938,2023-05-15,2023-05-19,4,6.74396895928855,6.6557471609486,6.708972225347027,6.6871747664788215,-0.0032490012085388312,0.013081584282567114,0.009832583074028282,0.022914167356595398,0.015739,0.00011,0.0073321846,0.0072147469,-0.016017,0.009722994032932392,0.022804578315499507,0.039029145357591014,convergence,False,False
500326__256938,500326,256938,2023-10-30,2023-11-08,9,8.390055585237151,7.9488063959485995,8.352358393844556,7.88505000804336,-0.0559492736980238,0.05259192681213681,-0.003357346885886986,0.04923457992624983,0.015739,0.000247,0.0065926097,0.0066072014,0.002213,-0.0036039222283527394,0.04898800458378407,0.04690311203260779,convergence,False,False
500326__256938,500326,256938,2023-11-14,2023-11-16,2,8.79908307071145,8.3597785104743,8.665623254605485,8.304409106004197,-0.041683574047523354,0.049926174887405715,0.00824260083988236,0.058168775727288076,0.015739,5.5e-05,0.0066065467,0.0066829285,0.011562,0.008187806319334415,0.058113981206740134,0.04716100848171146,convergence,False,False
500326__256938,500326,256938,2024-08-05,2024-08-06,1,9.47747075,9.29198430618575,0.0,0.0,0.0,0.019571302165638474,0.019571302165638474,0.03914260433127695,0.015739,0.0,0.0,0.0,0.0,0.019571302165638474,0.03914260433127695,0.03914260433127695,overnight_abort,True,False
500326__256938,500326,256938,2024-11-14,2024-11-19,5,12.041375995000001,11.888125989999999,11.921741597332476,11.740670762096157,-0.015188287194283293,0.012726951227470749,-0.0024613359668125435,0.010265615260658206,0.015739,0.000137,0.0064789914,0.0064335574,-0.007013,-0.0025983222681824065,0.010128628959288342,0.01708340259037699,convergence,False,False
500326__256938,500326,256938,2025-04-07,2025-04-08,1,10.79434037,10.815588485,0.0,0.0,0.0,-0.0019684496015200965,-0.0019684496015200965,-0.003936899203040193,0.015739,0.0,0.0,0.0,0.0,-0.0019684496015200965,-0.003936899203040193,-0.003936899203040193,overnight_abort,True,False
500326__256938,500326,256938,2025-04-09,2025-04-10,1,11.811922437628501,11.126324652371501,0.0,0.0,0.0,0.05804286210625075,0.05804286210625075,0.1160857242125015,0.015739,0.0,0.0,0.0,0.0,0.05804286210625075,0.1160857242125015,0.1160857242125015,overnight_abort,True,False
