cell,label,ref_sharpe,n,Sharpe,Sortino,Calmar,ann_ret,ann_vol,MDD,hit,win_loss
ssd_core,SSD core (Phase 1 baseline),0.589,251,0.5885238953503829,1.1016321112837493,0.21062381851585182,0.030137927232511075,0.0528483540571197,-0.14308888446176782,0.5737051792828686,1.215631213288019
pc_core,PC core (paper headline),1.028,251,1.0278316082132064,2.530813561597996,0.5936876797488286,0.034133237979151465,0.03322561705802173,-0.05749359325359793,0.6215139442231076,1.549054435309139
pc_filtered,PC + cointegration filter,0.752,251,0.752204845014379,1.3955457293245548,0.44027792982398967,0.025898008364963143,0.03482545632774779,-0.05882195452158234,0.5776892430278885,1.3413708852372452
factor_core,Factor-beta core (EXTENSION),—,251,1.0134755719832977,2.5980071389516044,0.6048304900412894,0.03596037224721904,0.03551520585496788,-0.05945529010080852,0.6175298804780877,1.5686472214559453
factor_filtered,Factor-beta + cointeg. filter,—,251,0.8577020274842365,1.9538970301148193,0.583760734624716,0.04447617974003837,0.05237764087139708,-0.07618905675221699,0.6095617529880478,1.354866745223387
