date,rolling_sharpe_252d
2011-09-15,
2011-09-16,
2011-09-19,
2011-09-20,
2011-09-21,
2011-09-22,
2011-09-23,
2011-09-26,
2011-09-27,
2011-09-28,
2011-09-29,
2011-09-30,
2011-10-03,
2011-10-04,
2011-10-05,
2011-10-06,
2011-10-07,
2011-10-10,
2011-10-11,
2011-10-12,
2011-10-13,
2011-10-14,
2011-10-17,
2011-10-18,
2011-10-19,
2011-10-20,
2011-10-21,
2011-10-24,
2011-10-25,
2011-10-26,
2011-10-27,
2011-10-28,
2011-10-31,
2011-11-01,
2011-11-02,
2011-11-03,
2011-11-04,
2011-11-07,
2011-11-08,
2011-11-09,
2011-11-10,
2011-11-11,
2011-11-14,
2011-11-15,
2011-11-16,
2011-11-17,
2011-11-18,
2011-11-21,
2011-11-22,
2011-11-23,
2011-11-25,
2011-11-28,
2011-11-29,
2011-11-30,
2011-12-01,
2011-12-02,
2011-12-05,
2011-12-06,
2011-12-07,
2011-12-08,
2011-12-09,
2011-12-12,
2011-12-13,1.6472252244403682
2011-12-14,1.6086425057932245
2011-12-15,1.6180506478729735
2011-12-16,1.7775408227540097
2011-12-19,1.9022446767545875
2011-12-20,1.7426888319238643
2011-12-21,1.8335322278324373
2011-12-22,1.7764314200749154
2011-12-23,1.7638991905475152
2011-12-27,1.734738993768744
2011-12-28,1.7333123595074005
2011-12-29,1.7205409804382603
2011-12-30,1.690758919343923
2012-01-03,1.6796209491443677
2012-01-04,1.8578339379002853
2012-01-05,1.8348654642043427
2012-01-06,1.8993038579267778
2012-01-09,1.8477717396363844
2012-01-10,1.9180943110926416
2012-01-11,1.8861185296699694
2012-01-12,1.8504718247320322
2012-01-13,1.9573896475045867
2012-01-17,1.9425343039303706
2012-01-18,2.0910491284703276
2012-01-19,2.1494666202646666
2012-01-20,2.114361994874479
2012-01-23,2.0991193168548277
2012-01-24,2.1301535333388846
2012-01-25,2.1198183068102896
2012-01-26,2.2569528248019957
2012-01-27,2.057201479296407
2012-01-30,2.0611915776550473
2012-01-31,2.02321403703338
2012-02-01,1.8758181024942668
2012-02-02,2.145662784056669
2012-02-03,1.9990959308478016
2012-02-06,2.137549455683516
2012-02-07,2.0479273889130623
2012-02-08,1.9625375041907178
2012-02-09,2.1237197574177125
2012-02-10,2.2887376698787927
2012-02-13,2.1261087243918793
2012-02-14,2.1772767048561277
2012-02-15,2.203413442432066
2012-02-16,2.0138664305015546
2012-02-17,2.0338136335725636
2012-02-21,2.084613275320553
2012-02-22,2.189427399527074
2012-02-23,1.9424640912982207
2012-02-24,1.7767332138688339
2012-02-27,1.8510245676973607
2012-02-28,2.0225546977620534
2012-02-29,1.9171188974205262
