date,daily_return,equity
2011-09-15,0.0002110159183499221,1.00021101591835
2011-09-16,0.0005309926809696347,1.0007421206472278
2011-09-19,-8.417628592382983e-05,1.0006578818923442
2011-09-20,0.00036846286815755947,1.0010265871655506
2011-09-21,0.0006387326748048569,1.0016659755551218
2011-09-22,-0.00011090153218239798,1.0015548892636978
2011-09-23,-0.0011999548186342646,1.0003530686481992
2011-09-26,-0.0007571893322739627,0.9995956119761112
2011-09-27,-6.932131259237478e-05,0.9995263186962274
2011-09-28,0.001792730171730532,1.0013181996851928
2011-09-29,-0.0001030681002006127,1.0012149957206549
2011-09-30,0.003214496131181412,1.00443339745088
2011-10-03,-0.0004452577029761835,1.0039861657435383
2011-10-04,-0.0015167277914924246,1.0024633920236812
2011-10-05,4.813716330763032e-05,1.002511647767693
2011-10-06,0.0002852456646862926,1.0027976098690161
2011-10-07,0.0020153053923756266,1.0048185532996465
2011-10-10,-0.00016243813671473742,1.0046553324461123
2011-10-11,0.0009617421763057784,1.0056215518519762
2011-10-12,-0.0015141783837218864,1.0040988614359572
2011-10-13,0.002307549817572267,1.0064158695804881
2011-10-14,-0.0014245742773608134,1.004982155420356
2011-10-17,0.002928829330355083,1.0079255766336346
2011-10-18,-0.0029984218564937538,1.0049033905549372
2011-10-19,0.002455699771054554,1.0073711315810547
2011-10-20,-0.0005231671778669226,1.0068441080690809
2011-10-21,-0.0008090566704796268,1.0060295141273146
2011-10-24,0.0003153158329456836,1.0063467311615295
2011-10-25,0.0014225122923371834,1.00777827175696
2011-10-26,-0.0009997106211245765,1.006770785114946
2011-10-27,-0.0004540905426605746,1.0063136200227984
2011-10-28,0.0005594753757552676,1.0068766277134882
2011-10-31,0.002017102202617325,1.008907600777013
2011-11-01,-0.0004427563069509592,1.0084609005736382
2011-11-02,-0.0007260896646368976,1.0077286675365413
2011-11-03,-0.0008054637182062415,1.0069169786570444
2011-11-04,0.0014116513965113685,1.0083383944161368
