,portfolio,market,fx_proxy
2022-01-07,0.013024446740576252,0.0030928195856214863,0.0017503920229861025
2022-01-10,0.006632215386901159,0.007748326225638689,0.0010985506549336438
2022-01-11,0.00330743867729563,-0.0015162412187176824,0.0020406202258107823
2022-01-12,0.010425673571148856,0.013851439497354262,0.0026768376132177267
2022-01-13,0.00619531421255846,-0.003452124511687832,0.00032001283786938075
2022-01-14,0.0,-0.0073780410626917295,-0.0015851331776545992
2022-01-17,0.0,0.002084516349297549,-0.0005724527463957847
2022-01-18,-0.00326341651857966,-0.0011348285887747532,-0.0017729621306761761
2022-01-19,0.0,-0.009468195161825484,0.0007832221159067162
2022-01-20,-0.00397486570805273,0.009562985346308036,0.0005336539220964069
2022-01-21,0.004618563469360365,-0.0027029080102865975,0.00017147763743391946
2022-01-24,0.007760312980798889,-0.004446768603602171,-0.0013373849421945668
2022-01-25,0.0,-0.018499039345021676,0.00021080762331126093
2022-01-26,0.0,-0.001508299523509607,-0.0018815214705476839
2022-01-27,0.0,-0.018989312897504707,-0.003972554641799585
2022-01-28,0.014224815159133947,0.00763307020612842,-0.0005050958743500427
2022-01-31,0.00301992443928852,0.0074470181099779344,0.002702278536715099
2022-02-01,-0.001123985751397995,0.0014373962679119492,0.001421373547010279
2022-02-02,-0.01789564324150018,0.018172373065362034,0.0005015977739323981
2022-02-03,0.0,-0.00339688356555028,0.00022394834399262133
2022-02-04,0.00800946701131645,0.00900174003241993,-0.0014128628949973132
2022-02-07,0.00578146926052135,0.00037052750670349036,8.301483105789164e-05
2022-02-08,-0.001927112221053045,0.002611688346789862,-0.0001425769901259159
2022-02-09,0.0,0.015274875199370614,0.0015058380637461163
2022-02-10,0.020410645628059464,0.006460208227230883,-0.0016723266877913408
2022-02-11,0.014177229339302105,-0.0054964615772315215,-0.0007031164666797238
2022-02-14,0.0053386902969187345,-0.010039241934247765,-0.0004051768869665174
2022-02-15,0.00313175998217557,-0.003613228362537341,0.0017229269505945762
2022-02-16,0.00409983088088399,0.013834168764843006,0.0011361055540061273
2022-02-17,0.030445722766232825,-0.0034317348668597017,-0.00041720933831365404
2022-02-18,0.006441815629526474,-0.004533402336563755,0.0004712437418826664
2022-02-21,0.0,-0.005967000357323527,0.0007715439893983115
2022-02-22,0.0,-0.015295511805586772,-9.779082008704536e-05
2022-02-23,0.01583061775886454,0.002423010611858425,0.0008400573198052784
2022-02-24,0.021555302090737367,-0.021323900437777613,-0.005830668803393931
2022-02-25,0.0,0.008577361971057467,0.00280577416273222
2022-02-28,0.0,0.0034652391184489596,0.00017536177649359684
2022-03-01,0.07116037092194753,0.007465788249075245,-0.001136711144181346
2022-03-02,0.0,-0.014071508623540604,0.00022574813457135442
2022-03-03,-0.0057033707400981045,0.009251927346828196,-0.0007428588117599197
2022-03-04,-0.000502721381954975,-0.01579106201403637,-0.0011294800736789275
2022-03-07,0.006298088330217,-0.022236875586767388,-0.0041298271541909985
2022-03-08,0.0,-0.018943771964604283,-0.0013582140841590777
2022-03-09,-0.0005030456535381549,0.0002826880669788042,0.0033012177614753554
2022-03-10,0.006172845594483215,0.02595607216994663,-0.00046255937245900177
2022-03-11,0.004302608271215325,-0.013036912751529042,-0.003851989730560819
2022-03-14,0.035251326183000045,-0.01262322478073129,-0.0038262862776547797
2022-03-15,0.00596337358588536,-0.01783884156834487,0.00017739821587185606
2022-03-16,0.00386732090354528,0.03669902189617574,0.00397386306505357
2022-03-17,-0.002880260946856425,0.03526408603942926,0.004026318005953453
2022-03-18,-0.002375307373317369,0.005958602970223459,-0.0014711708475564254
2022-03-21,-0.0022684829430082002,-0.002692485339238109,-0.002136342413388559
2022-03-22,0.009821366581200936,0.014988508869096372,-0.00023775649401018434
2022-03-23,0.013908249739629092,0.013046770386140877,-0.0010781511928064193
2022-03-24,0.0,-0.00034095900571049094,-0.000612183818396117
2022-03-25,0.01183153448016777,-0.0045734505452278045,0.00046570880069305635
2022-03-28,0.00021809552776708,-0.001114516508997479,-0.002216299596163883
2022-03-29,0.0,0.005727832657275997,0.003766518508005326
2022-03-30,0.01616483505467625,0.004121783709325537,0.0016105049261074104
2022-03-31,0.007742296042927669,-0.008635865377346943,-0.0007454684107129502
2022-04-01,0.0,0.0019507131925516595,-0.0011573234879817187
2022-04-04,0.0,0.010969862831748728,0.0017293354502380725
2022-04-05,0.0,-4.736417510299334e-06,-0.0005680001151159197
2022-04-06,0.0,-0.013165037068865437,-0.0017799946565704465
2022-04-07,0.0,-0.015394963536764155,-0.0015119426826020793
2022-04-08,0.0075072746982062,0.0024313174219993522,-0.0020026072151308723
2022-04-11,0.0,-0.011094579004788201,-0.0032275266993498516
2022-04-12,0.003083256450124105,-0.005841935207484859,0.0007996158157643359
2022-04-13,0.0,0.007974767474514668,0.0003113116591984594
2022-04-14,0.006211040469732866,0.012903783052415385,-0.0012479196794798828
2022-04-15,0.0,-0.004533078119329266,-0.0007615667851135614
2022-04-18,0.03631042868349777,-0.010415276248897794,-0.0028830764827110222
2022-04-19,0.0,-0.0005389078243661262,-0.002709391653356778
2022-04-20,0.01190711442485188,0.0025592774228676055,0.001955537500201256
2022-04-21,0.0046313239797036295,-0.00047000473978451495,-0.0028124837854875155
2022-04-22,0.0,-0.008681855560245977,-0.0040976213170766836
2022-04-25,0.0,-0.01966699236514143,-0.0035035269092244274
2022-04-26,0.0030683484201263302,-0.0007463270527407377,-0.0008096536407181161
2022-04-27,0.0,-0.003956353687302733,-0.0013979882235037474
2022-04-28,0.0,0.015428631890862039,-0.005064734235517434
2022-04-29,0.0,0.01432561512662069,0.0021373717903731197
