pair_id,open_date,close_date,ruce_net,vol_regime,vol_level,year
133142__912732,2022-03-09,2022-03-10,0.129107754752022,high,0.17309003007122534,2022
133142__912732,2022-09-06,2022-09-14,0.1376886336630478,high,0.1475785051446844,2022
133142__912732,2022-12-06,2022-12-07,0.1519254471766831,high,0.18493186359611688,2022
133142__912732,2023-02-14,2023-02-21,0.1422469713644268,low,0.09565642296980376,2023
133142__912732,2023-05-17,2023-05-31,0.0669726205688815,low,0.08744346644413653,2023
133142__912732,2023-06-15,2023-06-23,0.1877262221931519,medium,0.1249927677502076,2023
133142__912732,2023-07-18,2023-07-19,0.1405194711142952,medium,0.12089745282479913,2023
133142__912732,2023-10-31,2023-11-02,-0.0146914705830739,high,0.14527823978787935,2023
133142__912732,2023-11-14,2023-11-15,0.0580568047005994,high,0.1517317753873554,2023
133142__912732,2024-02-14,2024-02-16,-0.1935520362150714,low,0.09588086888362635,2024
133142__912732,2024-03-01,2024-03-05,0.0612866994670168,low,0.0987924575774583,2024
133142__912732,2024-03-12,2024-03-13,0.1238472513937376,low,0.09894585215862359,2024
133142__912732,2024-06-28,2024-07-17,1.840988318774491,low,0.10334753385781295,2024
133553__745287,2022-01-19,2022-01-20,-0.0319070809754147,medium,0.1106903055131513,2022
133553__745287,2022-01-25,2022-01-27,0.2106446858968312,medium,0.12620288123504203,2022
133553__745287,2022-02-11,2022-02-15,0.0626351996435114,high,0.1519658049167608,2022
133553__745287,2022-03-01,2022-03-03,0.0198357284776644,high,0.15915047097312035,2022
133553__745287,2022-09-07,2022-09-13,0.0695020140190054,high,0.14760377599137522,2022
133553__745287,2022-09-28,2022-10-05,-0.0303399102606729,high,0.166012560979196,2022
133553__745287,2022-10-21,2022-10-24,0.0605129824674144,high,0.22520101077654514,2022
133553__745287,2022-11-04,2022-11-09,-0.0470375487749589,high,0.20897372209000226,2022
133553__745287,2022-11-10,2022-11-15,0.0026175965933794,high,0.18856504412036043,2022
133553__745287,2023-03-13,2023-03-16,0.0158007745890477,medium,0.10988408541738226,2023
