date,daily_return,equity
2021-01-05,0.003570116850632564,1.0035701168506326
2021-01-06,-0.001712702198338329,1.001851300105316
2021-01-07,0.0,1.001851300105316
2021-01-08,-0.0008137582632521907,1.0010360353313055
2021-01-11,0.0014150765502902352,1.0024525779508984
2021-01-12,-8.845420817072505e-05,1.002363906801887
2021-01-13,0.001285783968391738,1.0036527302437475
2021-01-14,-0.0024342514526001285,1.0012095871272455
2021-01-15,0.002242321838575816,1.0034546212494524
2021-01-19,-0.0013719144020953543,1.0020779674027112
2021-01-20,0.0007813254007932237,1.002860916372218
2021-01-21,-0.0017927730952883147,1.0010630143030297
2021-01-22,0.0014942098194515605,1.002558812488891
2021-01-25,0.0,1.002558812488891
2021-01-26,0.0,1.002558812488891
2021-01-27,0.0,1.002558812488891
2021-01-28,0.0,1.002558812488891
2021-01-29,0.0,1.002558812488891
2021-02-01,0.0,1.002558812488891
2021-02-02,0.0,1.002558812488891
2021-02-03,0.0,1.002558812488891
2021-02-04,0.0,1.002558812488891
2021-02-05,0.0036849683002095346,1.0062532099320083
2021-02-08,0.0,1.0062532099320083
2021-02-09,0.0,1.0062532099320083
2021-02-10,0.0,1.0062532099320083
2021-02-11,0.0,1.0062532099320083
2021-02-12,0.0003545923927911058,1.0066100196654717
2021-02-16,0.0001201094260392842,1.006730923017179
2021-02-17,-0.0047123253479647645,1.0019868793700653
2021-02-18,-0.0006857517261637503,1.0012997651379438
2021-02-19,0.0,1.0012997651379438
2021-02-22,0.0,1.0012997651379438
2021-02-23,0.0,1.0012997651379438
2021-02-24,0.0,1.0012997651379438
2021-02-25,-1.2105819748079848e-05,1.0012876435834732
2021-02-26,-9.389614742241512e-05,1.001193626531279
2021-03-01,0.0,1.001193626531279
2021-03-02,0.0,1.001193626531279
2021-03-03,0.0,1.001193626531279
2021-03-04,0.0,1.001193626531279
2021-03-05,0.0,1.001193626531279
2021-03-08,0.0,1.001193626531279
2021-03-09,0.0,1.001193626531279
2021-03-10,0.0,1.001193626531279
2021-03-11,0.0,1.001193626531279
2021-03-12,0.0,1.001193626531279
2021-03-15,0.0,1.001193626531279
2021-03-16,0.0,1.001193626531279
2021-03-17,0.0,1.001193626531279
2021-03-18,0.0,1.001193626531279
2021-03-19,0.0,1.001193626531279
2021-03-22,0.0,1.001193626531279
2021-03-23,0.0,1.001193626531279
2021-03-24,0.0,1.001193626531279
2021-03-25,0.0,1.001193626531279
2021-03-26,0.0,1.001193626531279
2021-03-29,0.0,1.001193626531279
2021-03-30,0.0,1.001193626531279
2021-03-31,0.0,1.001193626531279
2021-04-01,0.0,1.001193626531279
2021-04-05,0.0,1.001193626531279
2021-04-06,0.0,1.001193626531279
2021-04-07,0.0,1.001193626531279
2021-04-08,0.0,1.001193626531279
2021-04-09,0.0,1.001193626531279
2021-04-12,0.0,1.001193626531279
2021-04-13,0.0,1.001193626531279
2021-04-14,0.0,1.001193626531279
2021-04-15,0.0,1.001193626531279
2021-04-16,0.0,1.001193626531279
2021-04-19,0.0,1.001193626531279
2021-04-20,0.0,1.001193626531279
2021-04-21,0.0,1.001193626531279
2021-04-22,0.0,1.001193626531279
2021-04-23,0.0,1.001193626531279
2021-04-26,0.0,1.001193626531279
2021-04-27,0.000628146207452394,1.0018225225107102
2021-04-28,-0.000984458193863829,1.0008362701196272
2021-04-29,0.0,1.0008362701196272
2021-04-30,0.0,1.0008362701196272
2021-05-03,0.0,1.0008362701196272
2021-05-04,0.0009783029731581638,1.0018153912183299
2021-05-05,0.0024646942603870044,1.004284559863033
2021-05-06,-0.0008511652737666705,1.0034297477206975
2021-05-07,-0.0007916220027095385,1.0026354106542286
2021-05-10,0.000827564354253919,1.0034651559803986
2021-05-11,-0.002913519802895701,1.000541540376934
2021-05-12,0.0010723490086902484,1.0016144701059106
2021-05-13,0.0007948982214575808,1.0024106516667841
2021-05-14,-0.0016758892581541138,1.0007307224233966
2021-05-17,-0.0005498353059494889,1.00018048534046
2021-05-18,-0.0011685960936642342,0.9990116783323318
2021-05-19,0.00038271395416308206,0.9993940140420015
2021-05-20,0.001989104587278758,1.0013819132598314
2021-05-21,0.0,1.0013819132598314
2021-05-24,0.0,1.0013819132598314
2021-05-25,0.0,1.0013819132598314
2021-05-26,0.0,1.0013819132598314
2021-05-27,0.0,1.0013819132598314
2021-05-28,0.0,1.0013819132598314
2021-06-01,0.0,1.0013819132598314
2021-06-02,0.0,1.0013819132598314
2021-06-03,0.0,1.0013819132598314
2021-06-04,0.0,1.0013819132598314
2021-06-07,0.0,1.0013819132598314
2021-06-08,0.0,1.0013819132598314
2021-06-09,0.0,1.0013819132598314
2021-06-10,0.0,1.0013819132598314
2021-06-11,0.0,1.0013819132598314
2021-06-14,-0.00026941509015196517,1.001112125861394
2021-06-15,0.000756111386953834,1.0018690781393753
2021-06-16,-0.001032739199077312,1.0008344086700374
