pair_id,adr_ticker,underlying_ticker,open_date,close_date,duration_days,adr_open_price,adr_cover_price,local_open_price_usd,local_close_price_usd,local_return,adr_return,roce,ruce,roll_cost_pct,roce_net,ruce_net,close_reason,was_aborted
516889__916561,516889,916561,2024-04-08,2024-04-09,1,10.41,10.11,0.0,0.0,0.0,0.02881844380403465,0.02881844380403465,0.0576368876080693,0.011961,0.01685744380403465,0.0456758876080693,overnight_abort,True
516889__916561,516889,916561,2024-04-10,2024-04-12,2,10.54,10.185001,10.252813615800001,10.28735449,0.003368916620777189,0.03368111954459198,0.037050036165369164,0.07073115570996115,0.011961,0.025089036165369165,0.05877015570996115,convergence,False
516889__916561,516889,916561,2024-05-10,2024-05-13,1,11.210001,10.300001,0.0,0.0,0.0,0.0811775128298383,0.0811775128298383,0.1623550256596766,0.011961,0.0692165128298383,0.1503940256596766,overnight_abort,True
516889__916561,516889,916561,2024-06-18,2024-06-21,3,10.180001,9.8800002,9.8354466486,9.98404308075,0.015108254607954402,0.029469623824202096,0.0445778784321565,0.07404750225635859,0.011961,0.0326168784321565,0.06208650225635859,convergence,False
516889__916561,516889,916561,2024-07-26,2024-07-29,1,11.170001,10.948,0.0,0.0,0.0,0.019874752025536863,0.019874752025536863,0.03974950405107373,0.011961,0.007913752025536864,0.027788504051073727,overnight_abort,True
516889__916561,516889,916561,2024-08-05,2024-08-06,1,9.8000002,10.15,0.0,0.0,0.0,-0.03571426457726,-0.03571426457726,-0.07142852915452,0.011961,-0.04767526457726,-0.08338952915452,overnight_abort,True
516889__916561,516889,916561,2024-10-23,2024-10-25,2,12.340001,11.310001,11.6972922432,11.742884295100001,0.003897658616378144,0.08346838869786162,0.08736604731423976,0.17083443601210138,0.011961,0.07540504731423976,0.15887343601210138,convergence,False
516889__916561,516889,916561,2024-11-13,2024-11-15,2,12.57,11.915,11.9608344576,11.98613409,0.002115206300169456,0.05210819411296747,0.054223400413136925,0.1063315945261044,0.011961,0.042262400413136926,0.0943705945261044,convergence,False
516889__916561,516889,916561,2024-12-18,2024-12-23,5,11.16,10.08,10.3429660041,10.4367464931,0.009067078917481063,0.09677419354838711,0.10584127246586816,0.20261546601425529,0.011961,0.09388027246586816,0.19065446601425529,convergence,False
516889__916561,516889,916561,2025-02-28,2025-03-06,6,10.79,10.408,10.3304126531,10.6139965275,0.027451359778440258,0.03540315106580164,0.0628545108442419,0.09825766191004354,0.011961,0.0508935108442419,0.08629666191004354,convergence,False
516889__916561,516889,916561,2025-04-02,2025-04-03,1,10.270001,9.6499997,0.0,0.0,0.0,0.06037013044107787,0.06037013044107787,0.12074026088215574,0.011961,0.04840913044107787,0.10877926088215574,overnight_abort,True
516889__916561,516889,916561,2025-04-09,2025-04-10,1,10.050001,9.5030003,0.0,0.0,0.0,0.05442792493254477,0.05442792493254477,0.10885584986508955,0.011961,0.042466924932544774,0.09689484986508955,overnight_abort,True
516889__916561,516889,916561,2025-08-08,2025-08-12,1,9.8400002,9.5,0.0,0.0,0.0,0.03455286515136457,0.03455286515136457,0.06910573030272914,0.011961,0.02259186515136457,0.05714473030272914,overnight_abort,True
516889__916561,516889,916561,2025-08-26,2025-08-27,1,10.33,11.695,0.0,0.0,0.0,-0.13213939980638917,-0.13213939980638917,-0.26427879961277834,0.011961,-0.14410039980638917,-0.27623979961277834,overnight_abort,True
516889__916561,516889,916561,2025-09-18,2025-09-24,6,12.19,11.960001,12.7057074,12.08824416,-0.04859731304689099,0.01886784249384737,-0.02972947055304362,-0.01086162805919625,0.011961,-0.04169047055304362,-0.02282262805919625,convergence,False
516889__916561,516889,916561,2025-10-17,2025-10-22,5,12.350001,11.998001,12.0995025408,12.1586938704,0.004892046544922433,0.02850202198364197,0.0333940685285644,0.06189609051220637,0.011961,0.0214330685285644,0.04993509051220637,convergence,False
516889__916561,516889,916561,2025-10-23,2025-10-24,1,12.630001,12.24,0.0,0.0,0.0,0.030878936589157815,0.030878936589157815,0.06175787317831563,0.011961,0.018917936589157816,0.04979687317831563,overnight_abort,True
516889__916561,516889,916561,2025-10-27,2025-10-28,1,12.7212,11.677001,0.0,0.0,0.0,0.08208337263780138,0.08208337263780138,0.16416674527560277,0.011961,0.07012237263780138,0.15220574527560277,overnight_abort,True
516889__916561,516889,916561,2026-01-28,2026-01-29,1,13.0,12.44,0.0,0.0,0.0,0.04307692307692312,0.04307692307692312,0.08615384615384623,0.011961,0.031115923076923117,0.07419284615384623,overnight_abort,True
516889__916561,516889,916561,2026-02-02,2026-02-03,1,12.74,12.41,0.0,0.0,0.0,0.025902668759811624,0.025902668759811624,0.05180533751962325,0.011961,0.013941668759811624,0.03984433751962325,overnight_abort,True
516889__916561,516889,916561,2026-03-10,2026-03-17,7,12.850001,11.920001,12.2302611504,12.08766942,-0.011658927691444897,0.07237353522384951,0.06071460753240461,0.13308814275625414,0.011961,0.04875360753240461,0.12112714275625414,convergence,False
500326__256938,500326,256938,2024-08-05,2024-08-07,2,9.5,9.3900004,9.132166967,9.768566828500001,0.06968771637659449,0.011578905263157904,0.08126662163975239,0.0928455269029103,0.013708,0.06755862163975239,0.0791375269029103,convergence,False
500326__256938,500326,256938,2024-10-04,2024-10-15,11,10.37,10.53,10.3316800634,10.63337806585,0.029201252903558753,-0.01542912246865961,0.013772130434899143,-0.0016569920337604661,0.013708,6.413043489914352e-05,-0.015364992033760466,convergence,False
500326__256938,500326,256938,2024-11-06,2024-11-07,1,11.45,11.510001,0.0,0.0,0.0,-0.005240262008733758,-0.005240262008733758,-0.010480524017467517,0.013708,-0.018948262008733757,-0.024188524017467516,overnight_abort,True
500326__256938,500326,256938,2024-11-14,2024-11-15,1,12.07,11.680001,0.0,0.0,0.0,0.03231143330571661,0.03231143330571661,0.06462286661143322,0.013708,0.018603433305716614,0.05091486661143323,overnight_abort,True
500326__256938,500326,256938,2025-03-17,2025-03-28,11,13.86,13.98,14.108661145800001,14.072145024600001,-0.0025882059837315243,-0.00865800865800873,-0.011246214641740256,-0.019904223299748985,0.013708,-0.024954214641740254,-0.033612223299748986,convergence,False
500326__256938,500326,256938,2025-04-07,2025-04-08,1,10.82,10.79,0.0,0.0,0.0,0.0027726432532348554,0.0027726432532348554,0.005545286506469711,0.013708,-0.010935356746765145,-0.008162713493530288,overnight_abort,True
500326__256938,500326,256938,2025-04-09,2025-04-10,1,11.840001,11.100001,0.0,0.0,0.0,0.062499994721284244,0.062499994721284244,0.12499998944256849,0.013708,0.048791994721284246,0.11129198944256849,overnight_abort,True
500326__256938,500326,256938,2025-11-19,2025-11-20,1,15.260001,14.880001,0.0,0.0,0.0,0.024901702168957967,0.024901702168957967,0.049803404337915934,0.013708,0.011193702168957967,0.036095404337915936,overnight_abort,True
500326__256938,500326,256938,2026-01-09,2026-01-14,5,17.089997,18.160004,17.4820120514,18.1729253264,0.03952138191923222,-0.06261013386953786,-0.023088751950305637,-0.0856988858198435,0.013708,-0.036796751950305635,-0.0994068858198435,convergence,False
500326__256938,500326,256938,2026-01-21,2026-01-23,2,18.259995,17.880005,17.786123536999998,18.20954952595,0.02380653592499564,0.020809972839532506,0.04461650876452815,0.06542648160406064,0.013708,0.03090850876452815,0.051718481604060645,convergence,False
500326__256938,500326,256938,2026-02-02,2026-02-04,2,18.240006,18.550004,18.507222980250003,18.802192987399998,0.015938101975902754,-0.01699549879534032,-0.001057396819437565,-0.018052895614777884,0.013708,-0.014765396819437565,-0.031760895614777886,convergence,False
500326__256938,500326,256938,2026-02-17,2026-02-19,2,19.25,19.259995,19.06222644655,19.4129032161,0.018396422397629553,-0.000519220779220778,0.017877201618408774,0.017357980839188,0.013708,0.004169201618408775,0.003649980839187999,convergence,False
500326__256938,500326,256938,2026-02-25,2026-02-27,2,18.630005,18.64,18.734987992500002,19.022139688200003,0.01532702854226291,-0.0005365001243961006,0.01479052841786681,0.014254028293470708,0.013708,0.0010825284178668099,0.0005460282934707083,convergence,False
500326__256938,500326,256938,2026-03-04,2026-03-05,1,17.600007,17.229996,0.0,0.0,0.0,0.021023343911170125,0.021023343911170125,0.04204668782234025,0.013708,0.007315343911170126,0.028338687822340253,overnight_abort,True
500326__256938,500326,256938,2026-03-31,2026-04-01,1,16.970002,17.699997,0.0,0.0,0.0,-0.043016789273212744,-0.043016789273212744,-0.08603357854642549,0.013708,-0.05672478927321274,-0.09974157854642549,overnight_abort,True
755020__929593,755020,929593,2024-05-02,2024-05-10,8,8.1199999,8.3699999,8.007527456657066,8.383088135200001,0.04690095420537247,-0.03078817771906623,0.01611277648630624,-0.01467540123275999,0.00999,0.00612277648630624,-0.02466540123275999,convergence,False
755020__929593,755020,929593,2024-05-13,2024-05-20,7,8.58,8.5388003,8.448703362,8.533747056057408,0.010065887085101302,0.004801829836829831,0.014867716921931132,0.019669546758760963,0.00999,0.004877716921931131,0.009679546758760963,convergence,False
755020__929593,755020,929593,2024-05-31,2024-06-03,1,8.08,8.0900002,0.0,0.0,0.0,-0.0012376485148515282,-0.0012376485148515282,-0.0024752970297030564,0.00999,-0.01122764851485153,-0.012465297029703056,overnight_abort,True
755020__929593,755020,929593,2024-08-08,2024-08-09,1,9.1000004,8.8500004,0.0,0.0,0.0,0.027472526264943897,0.027472526264943897,0.054945052529887795,0.00999,0.0174825262649439,0.044955052529887796,overnight_abort,True
755020__929593,755020,929593,2024-08-16,2024-08-20,4,9.1000004,8.8100005,8.852795515051712,8.833764433910925,-0.002149725598928554,0.03186811947832458,0.029718393879396027,0.06158651335772061,0.00999,0.019728393879396025,0.051596513357720614,convergence,False
755020__929593,755020,929593,2024-08-26,2024-08-27,1,9.1204997,8.9799996,0.0,0.0,0.0,0.015404868660869599,0.015404868660869599,0.030809737321739198,0.00999,0.005414868660869598,0.020819737321739196,overnight_abort,True
755020__929593,755020,929593,2024-09-24,2024-09-30,6,9.4499999,8.7799998,9.17820058484617,8.857869738792163,-0.034901268837259386,0.07089948223174049,0.0359982133944811,0.10689769562622159,0.00999,0.026008213394481103,0.09690769562622159,convergence,False
755020__929593,755020,929593,2024-10-08,2024-10-10,2,8.7399998,8.5200005,8.5188517559693,8.552068025807104,0.0038991487103329056,0.02517154519843348,0.029070693908766387,0.05424223910719987,0.00999,0.019080693908766384,0.04425223910719987,convergence,False
755020__929593,755020,929593,2025-03-07,2025-03-10,1,8.3699999,8.1199999,0.0,0.0,0.0,0.02986857861252782,0.02986857861252782,0.05973715722505564,0.00999,0.01987857861252782,0.04974715722505564,overnight_abort,True
755020__929593,755020,929593,2025-03-14,2025-03-18,4,8.1899996,8.1099997,8.185750487147281,8.224677886519704,0.004755507687846533,0.009767998035067142,0.014523505722913676,0.024291503757980816,0.00999,0.004533505722913675,0.014301503757980815,convergence,False
755020__929593,755020,929593,2025-03-27,2025-03-28,1,8.1999999,8.08,0.0,0.0,0.0,0.014634134324806496,0.014634134324806496,0.029268268649612992,0.00999,0.004644134324806495,0.01927826864961299,overnight_abort,True
755020__929593,755020,929593,2025-04-09,2025-04-10,1,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00999,-0.00999,-0.00999,overnight_abort,True
755020__929593,755020,929593,2025-04-11,2025-04-23,12,8.1199999,8.3500004,8.161265774689765,8.414894856170601,0.03107717460536661,-0.028325185077896484,0.0027519895274701264,-0.025573195550426357,0.00999,-0.007238010472529874,-0.035563195550426356,convergence,False
755020__929593,755020,929593,2025-06-20,2025-06-23,1,8.5200005,8.3450003,0.0,0.0,0.0,0.02053992837206987,0.02053992837206987,0.04107985674413974,0.00999,0.01054992837206987,0.031089856744139742,overnight_abort,True
755020__929593,755020,929593,2025-08-05,2025-08-06,1,8.6999999,8.3900004,0.0,0.0,0.0,0.035632126846346285,0.035632126846346285,0.07126425369269257,0.00999,0.025642126846346286,0.06127425369269257,overnight_abort,True
755020__929593,755020,929593,2025-10-17,2025-10-22,5,8.6300002,8.4200001,8.541287643220405,8.466180281461385,-0.008793447182244953,0.024333730606402565,0.015540283424157612,0.03987401403056018,0.00999,0.005550283424157611,0.02988401403056018,convergence,False
755020__929593,755020,929593,2025-11-05,2025-12-03,28,8.6850005,8.7320004,8.6812251795,8.761392735961476,0.009234590141813685,-0.0054116174201718475,0.0038229727216418374,-0.00158864469853001,0.00999,-0.006167027278358163,-0.01157864469853001,convergence,False
755020__929593,755020,929593,2025-12-24,2025-12-30,6,9.1800004,8.9899998,8.914501766355526,8.9641431945,0.005568614987752545,0.020697232213628354,0.0262658472013809,0.046963079415009254,0.00999,0.0162758472013809,0.036973079415009255,convergence,False
755020__929593,755020,929593,2026-01-07,2026-01-13,6,9.33,9.2399998,9.10520064294707,9.204184224427895,0.010871103818837645,0.009646323687031126,0.020517427505868772,0.0301637511928999,0.00999,0.010527427505868771,0.0201737511928999,convergence,False
755020__929593,755020,929593,2026-03-11,2026-03-13,2,9.6099997,9.4425002,9.346271621148459,9.402326720162945,0.0059975893368695125,0.01742970918094825,0.023427298517817764,0.04085700769876602,0.00999,0.013437298517817763,0.03086700769876602,convergence,False
519310__930378,519310,930378,2024-04-19,2024-04-24,5,9.3199997,9.1700001,4.6788721497,4.634844696,-0.009409843289439529,0.016094378200462927,0.006684534911023398,0.022778913111486325,0.009569,-0.0028844650889766014,0.013209913111486326,convergence,False
519310__930378,519310,930378,2024-07-26,2024-07-29,1,10.047301,10.07,0.0,0.0,0.0,-0.0022592136933093907,-0.0022592136933093907,-0.0045184273866187815,0.009569,-0.01182821369330939,-0.014087427386618782,overnight_abort,True
519310__930378,519310,930378,2024-07-31,2024-08-01,1,10.54,10.07,0.0,0.0,0.0,0.04459203036053121,0.04459203036053121,0.08918406072106241,0.009569,0.035023030360531206,0.07961506072106242,overnight_abort,True
519310__930378,519310,930378,2024-08-05,2024-08-06,1,9.58,9.5100003,0.0,0.0,0.0,0.007306858037578323,0.007306858037578323,0.014613716075156645,0.009569,-0.0022621419624216767,0.005044716075156646,overnight_abort,True
519310__930378,519310,930378,2025-03-17,2025-03-18,1,14.270001,14.028,0.0,0.0,0.0,0.01695872340863887,0.01695872340863887,0.03391744681727774,0.009569,0.007389723408638872,0.02434844681727774,overnight_abort,True
519310__930378,519310,930378,2025-04-07,2025-04-08,1,12.0945,12.520001,0.0,0.0,0.0,-0.035181363429658156,-0.035181363429658156,-0.07036272685931631,0.009569,-0.04475036342965816,-0.07993172685931631,overnight_abort,True
519310__930378,519310,930378,2025-04-09,2025-04-10,1,12.66,12.170001,0.0,0.0,0.0,0.03870450236966832,0.03870450236966832,0.07740900473933664,0.009569,0.029135502369668317,0.06784000473933664,overnight_abort,True
519310__930378,519310,930378,2025-09-16,2025-09-25,9,13.561,12.79,6.5990878980000005,6.44080271874951,-0.023985917705151655,0.05685421429098155,0.0328682965858299,0.08972251087681145,0.009569,0.023299296585829896,0.08015351087681145,convergence,False
519310__930378,519310,930378,2025-10-02,2025-10-10,8,12.930001,12.41,6.52470272633296,6.250371075173509,-0.04204508046815367,0.04021662488657198,-0.0018284555815816853,0.0383881693049903,0.009569,-0.011397455581581685,0.028819169304990296,convergence,False
519310__930378,519310,930378,2025-11-05,2025-11-06,1,12.100001,11.930001,0.0,0.0,0.0,0.01404958561573672,0.01404958561573672,0.02809917123147344,0.009569,0.004480585615736721,0.018530171231473443,overnight_abort,True
519310__930378,519310,930378,2025-12-02,2025-12-03,1,13.08,12.805001,0.0,0.0,0.0,0.021024388379204843,0.021024388379204843,0.042048776758409685,0.009569,0.011455388379204843,0.032479776758409684,overnight_abort,True
519310__930378,519310,930378,2026-02-06,2026-02-10,4,16.190003,16.130005,8.0540141697,8.0836868736,0.0036842130240633264,0.00370586713294619,0.007390080157009517,0.011095947289955707,0.009569,-0.0021789198429904826,0.0015269472899557077,convergence,False
519310__930378,519310,930378,2026-02-26,2026-02-27,1,17.485993,17.050004,0.0,0.0,0.0,0.024933614007508712,0.024933614007508712,0.049867228015017424,0.009569,0.015364614007508713,0.04029822801501742,overnight_abort,True
519310__930378,519310,930378,2026-03-04,2026-03-05,1,15.62,15.16,0.0,0.0,0.0,0.02944942381562094,0.02944942381562094,0.05889884763124188,0.009569,0.01988042381562094,0.04932984763124188,overnight_abort,True
519310__930378,519310,930378,2026-03-23,2026-03-26,3,13.670001,13.83,6.7708493572999995,7.0016264172,0.03408391587551534,-0.01170438831716259,0.02237952755835275,0.010675139241190162,0.009569,0.01281052755835275,0.0011061392411901624,convergence,False
516495__932074,516495,932074,2024-04-26,2024-04-30,1,32.380005,34.860001,0.0,0.0,0.0,-0.07659035259568367,-0.07659035259568367,-0.15318070519136734,0.012476000000000001,-0.08906635259568367,-0.16565670519136733,overnight_abort,True
516495__932074,516495,932074,2024-08-05,2024-08-06,1,28.410004,28.100007,0.0,0.0,0.0,0.010911543694256403,0.010911543694256403,0.021823087388512807,0.012476000000000001,-0.0015644563057435976,0.009347087388512806,overnight_abort,True
516495__932074,516495,932074,2024-10-31,2024-11-08,8,34.550004,35.800004,17.8169934302,17.947458116649997,0.007322486083923572,-0.03617944588371104,-0.028856959799787467,-0.06503640568349851,0.012476000000000001,-0.04133295979978747,-0.07751240568349851,convergence,False
516495__932074,516495,932074,2025-04-07,2025-04-08,1,32.570008,32.940003,0.0,0.0,0.0,-0.011359991069084044,-0.011359991069084044,-0.022719982138168088,0.012476000000000001,-0.023835991069084045,-0.03519598213816809,overnight_abort,True
516495__932074,516495,932074,2025-04-09,2025-04-10,1,35.75,34.800004,0.0,0.0,0.0,0.02657331468531465,0.02657331468531465,0.0531466293706293,0.012476000000000001,0.014097314685314648,0.0406706293706293,overnight_abort,True
516495__932074,516495,932074,2025-04-28,2025-04-30,1,38.490006,38.610001,0.0,0.0,0.0,-0.0031175625173972656,-0.0031175625173972656,-0.006235125034794531,0.012476000000000001,-0.015593562517397266,-0.01871112503479453,overnight_abort,True
516495__932074,516495,932074,2025-07-31,2025-08-01,1,46.5,46.490006,0.0,0.0,0.0,0.0002149247311827731,0.0002149247311827731,0.0004298494623655462,0.012476000000000001,-0.012261075268817229,-0.012046150537634455,overnight_abort,True
516495__932074,516495,932074,2025-09-11,2025-09-16,5,52.449997,51.899994,26.098733794799998,26.014539586500003,-0.0032259882399647065,0.010486235108840974,0.0072602468688762675,0.017746481977717242,0.012476000000000001,-0.0052157531311237335,0.005270481977717241,convergence,False
516495__932074,516495,932074,2025-10-28,2025-10-30,2,56.080002,54.25,27.198323723399998,27.2895378606,0.003353667605681363,0.03263198885049969,0.035985656456181056,0.06861764530668074,0.012476000000000001,0.023509656456181055,0.05614164530668074,convergence,False
516495__932074,516495,932074,2026-01-09,2026-01-14,5,61.699997,64.380005,31.6523704899,32.4897446016,0.026455336480002336,-0.04343611232266338,-0.016980775842661045,-0.06041688816532442,0.012476000000000001,-0.029456775842661046,-0.07289288816532442,convergence,False
516495__932074,516495,932074,2026-02-03,2026-02-05,2,68.070008,68.003006,34.3150380916,34.1186959752,-0.00572175137547251,0.0009843101531588217,-0.004737441222313688,-0.003753131069154866,0.012476000000000001,-0.017213441222313688,-0.016229131069154867,convergence,False
516495__932074,516495,932074,2026-02-06,2026-02-10,4,73.440003,75.244996,36.9054110062,37.6590989448,0.02042215268848747,-0.02457779039034075,-0.004155637701853281,-0.028733428092194032,0.012476000000000001,-0.01663163770185328,-0.041209428092194036,convergence,False
516495__932074,516495,932074,2026-03-04,2026-03-05,1,73.009995,70.300004,0.0,0.0,0.0,0.03711808225709373,0.03711808225709373,0.07423616451418746,0.012476000000000001,0.02464208225709373,0.06176016451418746,overnight_abort,True
26981M__26030V,26981M,26030V,2024-04-03,2024-04-10,7,58.5,58.604996,2.8676350446720473,2.9672452869,0.03473602486935165,-0.0017948034188034166,0.03294122145054823,0.031146418031744817,0.009803,0.02313822145054823,0.021343418031744818,convergence,False
26981M__26030V,26981M,26030V,2024-04-17,2024-04-24,7,58.39,59.830002,2.9177422934826285,2.987837200767701,0.024023680035637058,-0.024661791402637433,-0.0006381113670003748,-0.025299902769637807,0.009803,-0.010441111367000374,-0.0351029027696378,convergence,False
26981M__26030V,26981M,26030V,2024-05-02,2024-05-07,5,63.529999,62.074997,3.1044369049749996,3.1004480079250003,-0.0012849019555227189,0.0229025975586745,0.02161769560315178,0.04452029316182628,0.009803,0.011814695603151782,0.03471729316182628,convergence,False
