pair_id,adr_ticker,underlying_ticker,open_date,close_date,duration_days,adr_open_price,adr_cover_price,local_open_price_usd,local_close_price_usd,local_return,adr_return,roce,ruce,roll_cost_pct,borrow_cost,fx_open,fx_close,fx_pnl,roce_net,ruce_net,ruce_net_fx,close_reason,was_aborted
133142__912732,133142,912732,2022-03-09,2022-03-10,1,26.318043071606,24.660224713212003,0.0,0.0,0.0,0.06299170321605646,0.06299170321605646,0.12598340643211292,0.060464000000000004,0.0,0.0,0.0,0.0,0.06299170321605646,0.12598340643211292,0.12598340643211292,overnight_abort,True
133142__912732,133142,912732,2022-09-06,2022-09-14,8,19.256113803212,17.611647125091,36.68475858342443,35.68139588594612,-0.02735094181406644,0.08539971745735607,0.05804877564328963,0.1434484931006457,0.060464000000000004,0.000219,0.0069582159,0.0069849474,0.003842,0.057829597561097845,0.14322931501845393,0.13950697227054754,convergence,False
133142__912732,133142,912732,2022-12-06,2022-12-07,1,19.520867491697,18.068132303303003,0.0,0.0,0.0,0.07441960194709092,0.07441960194709092,0.14883920389418184,0.060464000000000004,0.0,0.0,0.0,0.0,0.07441960194709092,0.14883920389418184,0.14883920389418184,overnight_abort,True
133553__745287,133553,745287,2022-01-19,2022-01-20,1,18.045576,18.33346682734,0.0,0.0,0.0,-0.01595354048770735,-0.01595354048770735,-0.0319070809754147,0.008871,0.0,0.0,0.0,0.0,-0.01595354048770735,-0.0319070809754147,-0.0319070809754147,overnight_abort,True
133553__745287,133553,745287,2022-01-25,2022-01-27,1,18.005481737724,16.109102215192,0.0,0.0,0.0,0.1053223429484156,0.1053223429484156,0.2106446858968312,0.008871,0.0,0.0,0.0,0.0,0.1053223429484156,0.2106446858968312,0.2106446858968312,overnight_abort,True
133553__745287,133553,745287,2022-02-11,2022-02-15,4,17.143304217724,16.687635650128,16.92090420295463,16.87405984726706,-0.0027684309966953336,0.026579973254216432,0.0238115422575211,0.05039151551173753,0.008871,0.00011,0.7126058478,0.7151540134,0.003576,0.02370195321642521,0.05028192647064164,0.04672869020019528,convergence,False
133553__745287,133553,745287,2022-03-01,2022-03-03,2,18.940139313728,18.513004085064,18.71692522773586,18.522962550156947,-0.01036295626652862,0.022551852528054413,0.012188896261525793,0.03474074878958021,0.008871,5.5e-05,0.7297406305,0.7329495414,0.004397,0.012134101740977848,0.03468595426903227,0.030353245238865897,convergence,False
133553__745287,133553,745287,2022-09-07,2022-09-13,6,11.809826959999999,11.570629797468001,11.498640101023923,11.903536383198793,0.03521253631886559,0.02025407851801391,0.0554666148368795,0.07572069335489341,0.008871,0.000164,0.6751055308,0.6730381846,-0.003062,0.05530223127523567,0.07555630979324958,0.07873613339333707,convergence,False
133553__745287,133553,745287,2022-09-28,2022-10-05,7,11.10805456,11.580603479999999,10.732466087968524,11.583114306431941,0.07925934370452142,-0.04254110541567231,0.03671823828884911,-0.0058228671268232,0.008871,0.000192,0.6500047483,0.6486978655,-0.002011,0.036526457466931304,-0.006014647948741008,-0.0038403453218323553,convergence,False
133553__745287,133553,745287,2022-10-21,2022-10-24,1,11.278485,10.937237617468002,0.0,0.0,0.0,0.0302564912337072,0.0302564912337072,0.0605129824674144,0.008871,0.0,0.0,0.0,0.0,0.0302564912337072,0.0605129824674144,0.0605129824674144,overnight_abort,True
