k0,kc,T,H,n_trades,n_closed,n_abort,median_ruce_net,mean_ruce_net,median_roce_net,median_duration,pct_profitable
2.33,0.5,90,30,1400,609,791,0.029792,0.054772,0.007156,5.0,0.6601
2.33,1.0,90,30,1431,447,984,0.031214,0.066244,0.006454,4.0,0.6734
1.65,0.0,90,90,2587,1475,1112,0.026059,0.040583,0.007716,6.0,0.6475
1.65,0.5,90,90,2772,1109,1663,0.019886,0.037283,0.003851,5.0,0.6258
1.65,1.0,90,90,2933,809,2124,0.016882,0.040365,0.002396,4.0,0.6044
2.0,0.0,90,90,1812,1030,782,0.030135,0.048274,0.010201,6.0,0.6621
2.0,0.5,90,90,1918,788,1130,0.024837,0.046822,0.006199,5.0,0.651
2.0,1.0,90,90,1991,593,1398,0.024108,0.053564,0.004211,4.0,0.6459
2.33,0.0,90,90,1330,753,577,0.033831,0.058096,0.013745,6.0,0.6946
2.33,0.5,90,90,1387,596,791,0.030954,0.056447,0.009561,5.0,0.6812
2.33,1.0,90,90,1422,438,984,0.030803,0.069301,0.006677,4.0,0.6826
1.65,0.0,90,120,2581,1469,1112,0.025862,0.041093,0.00775,5.0,0.6467
1.65,0.5,90,120,2769,1106,1663,0.019436,0.038112,0.003868,5.0,0.6248
1.65,1.0,90,120,2932,808,2124,0.016692,0.040515,0.002396,4.0,0.604
2.0,0.0,90,120,1808,1026,782,0.029838,0.04888,0.010201,6.0,0.6628
2.0,0.5,90,120,1916,786,1130,0.024427,0.047566,0.006199,5.0,0.6501
2.0,1.0,90,120,1990,592,1398,0.023892,0.052885,0.004152,4.0,0.6453
2.33,0.0,90,120,1328,751,577,0.03382,0.059282,0.01372,6.0,0.6964
2.33,0.5,90,120,1386,595,791,0.030839,0.057638,0.009523,5.0,0.6807
2.33,1.0,90,120,1421,437,984,0.030392,0.069501,0.006597,4.0,0.6819
1.65,0.0,120,30,2414,1366,1048,0.022398,0.034714,0.006337,6.0,0.6259
1.65,0.5,120,30,2594,1035,1559,0.016148,0.032122,0.003036,5.0,0.5971
1.65,1.0,120,30,2718,756,1962,0.012102,0.032069,0.000935,4.0,0.5833
2.0,0.0,120,30,1712,980,732,0.028003,0.041175,0.009131,6.0,0.6408
2.0,0.5,120,30,1803,751,1052,0.021941,0.038429,0.00458,5.0,0.6152
2.0,1.0,120,30,1871,553,1318,0.021694,0.042461,0.002888,4.0,0.6166
2.33,0.0,120,30,1246,706,540,0.030889,0.050509,0.011917,6.0,0.6714
2.33,0.5,120,30,1294,556,738,0.029193,0.048282,0.006741,5.0,0.6511
2.33,1.0,120,30,1332,400,932,0.029068,0.056472,0.005353,5.0,0.6525
1.65,0.0,120,90,2356,1309,1047,0.025203,0.037341,0.007652,6.0,0.6417
1.65,0.5,120,90,2548,989,1559,0.019907,0.035181,0.003936,5.0,0.6148
1.65,1.0,120,90,2690,728,1962,0.012746,0.034413,0.001263,4.0,0.5934
2.0,0.0,120,90,1678,946,732,0.029847,0.043935,0.010208,6.0,0.6543
2.0,0.5,120,90,1773,721,1052,0.023923,0.040748,0.005249,5.0,0.6297
2.0,1.0,120,90,1851,533,1318,0.022948,0.045754,0.004004,4.0,0.6341
2.33,0.0,120,90,1226,686,540,0.031829,0.052673,0.013375,6.0,0.688
2.33,0.5,120,90,1278,540,738,0.02968,0.049204,0.008182,5.0,0.6648
2.33,1.0,120,90,1323,391,932,0.030853,0.059835,0.006597,4.0,0.6726
1.65,0.0,120,120,2350,1303,1047,0.024916,0.037618,0.007804,6.0,0.6424
1.65,0.5,120,120,2543,984,1559,0.019436,0.034969,0.004094,5.0,0.6138
1.65,1.0,120,120,2689,727,1962,0.012908,0.034797,0.001312,4.0,0.5956
2.0,0.0,120,120,1674,942,732,0.029992,0.044453,0.010208,6.0,0.6571
2.0,0.5,120,120,1770,718,1052,0.023913,0.041399,0.0056,5.0,0.6309
2.0,1.0,120,120,1851,533,1318,0.022731,0.045997,0.003875,4.0,0.6341
2.33,0.0,120,120,1225,685,540,0.032236,0.053473,0.013485,6.0,0.692
2.33,0.5,120,120,1276,538,738,0.029516,0.050234,0.008673,5.0,0.6654
2.33,1.0,120,120,1322,390,932,0.030218,0.058966,0.006523,4.0,0.6718
