pair_id,adr_ticker,underlying_ticker,open_date,close_date,duration_days,adr_open_price,adr_cover_price,local_open_price_usd,local_close_price_usd,local_return,adr_return,roce,ruce,roll_cost_pct,borrow_cost,fx_open,fx_close,fx_pnl,roce_net,ruce_net,ruce_net_fx,close_reason,was_aborted,spans_adj_change
132934__932068,132934,932068,2021-01-12,2021-01-15,3,47.144255601072004,45.405341654048,22.755810907951645,22.190475532467293,-0.02484356095993068,0.03688495925650933,0.012041398296578649,0.04892635755308798,0.051462999999999995,8.2e-05,0.0096278814,0.0096251013,-0.000289,0.01195920651575673,0.048844165772266065,0.04912582851343386,convergence,False,False
132934__932068,132934,932068,2023-08-07,2023-08-08,1,31.567616,35.49319530755999,0.0,0.0,0.0,-0.12435463316456942,-0.12435463316456942,-0.24870926632913884,0.051462999999999995,0.0,0.0,0.0,0.0,-0.12435463316456942,-0.24870926632913884,-0.24870926632913884,overnight_abort,True,False
132934__932068,132934,932068,2024-08-05,2024-08-20,15,36.845333705415996,37.692514320536,17.3608105502065,18.56372304404811,0.06928895919708661,-0.02299288756327571,0.0462960716338109,0.023303184070535186,0.051462999999999995,0.000411,0.0068168645,0.0068364382,0.002871,0.04588511272970131,0.022892225166425598,0.019830697995648974,convergence,False,False
132934__932068,132934,932068,2024-10-18,2024-10-22,4,41.432496,39.385077333511994,20.26586365365407,19.379275755336682,-0.0437478467964295,0.049415769363448596,0.005667922567019097,0.05508369193046769,0.051462999999999995,0.00011,0.0066295412,0.0065462163,-0.012569,0.005558333525923206,0.0549741028893718,0.06714596085875663,convergence,False,False
132934__932068,132934,932068,2024-10-29,2024-11-05,7,40.64330264053601,37.88508362755999,19.806302523963645,19.48285018484068,-0.016330778484859594,0.06786404730370205,0.05153326881884245,0.1193973161225445,0.051462999999999995,0.000192,0.006518055,0.0064668413,-0.007857,0.051341487996924645,0.11920553530062669,0.1269956353004381,convergence,False,False
132934__932068,132934,932068,2024-11-13,2024-11-25,12,37.042628345952004,36.08103429458399,17.804206350662863,17.493659983057267,-0.017442303323676897,0.02595912045947173,0.008516817135794833,0.03447593759526656,0.051462999999999995,0.000329,0.0063995904,0.0065314653,0.020607,0.008188050012507163,0.03414717047197889,0.014308636231673022,convergence,False,False
132934__932068,132934,932068,2025-04-09,2025-04-10,1,33.363032051904,32.807379385952,0.0,0.0,0.0,0.016654741244367582,0.016654741244367582,0.033309482488735165,0.051462999999999995,0.0,0.0,0.0,0.0,0.016654741244367582,0.033309482488735165,0.033309482488735165,overnight_abort,True,False
133142__912732,133142,912732,2021-02-12,2021-02-16,1,3.5923018554631003,4.025945536561499,0.0,0.0,0.0,-0.1207147112203064,-0.1207147112203064,-0.2414294224406128,0.037679,0.0,0.0,0.0,0.0,-0.1207147112203064,-0.2414294224406128,-0.2414294224406128,overnight_abort,True,False
133142__912732,133142,912732,2021-03-09,2021-03-11,2,3.9201322274139003,3.9216519045738,7.844502317357979,7.656987403473408,-0.023903991139074147,-0.00038765966853681455,-0.024291650807610962,-0.024679310476147777,0.037679,5.5e-05,0.0092255169,0.0091730496,-0.005687,-0.024346445328158908,-0.024734104996695722,-0.019151106500131587,convergence,False,False
133142__912732,133142,912732,2021-03-15,2021-03-18,3,3.9477803079262004,4.0785977220000005,8.087522632726117,8.095067428323121,0.0009328932900261101,-0.03313695390068945,-0.03220406061066334,-0.0653410145113528,0.037679,8.2e-05,0.0091747328,0.0091840015,0.00101,-0.032286252391485255,-0.06542320629217471,-0.06643337018511804,convergence,False,False
